"positive","negative"
"A playful golden retriever running in a sunny park, photorealistic","A playful child running in a sunny park, photorealistic"
"A group of dogs playing in the snow, winter scene, cinematic lighting","A group of children playing in the snow, winter scene, cinematic lighting"
"Close-up of a dog’s face, detailed fur and expressive eyes, portrait","Close-up of a cat’s face, detailed fur and expressive eyes, portrait"
"A dog catching a frisbee in mid-air, dynamic sports shot","A boy catching a frisbee in mid-air, dynamic sports shot"
"Watercolor painting of a happy dog in a garden, soft pastel colors","Watercolor painting of a flower in a garden, soft pastel colors"
"A dog running along the beach at sunset, golden hour lighting","A person jogging along the beach at sunset, golden hour lighting"
"A cartoon illustration of dogs having a birthday party, colorful","A cartoon illustration of children having a birthday party, colorful"
"A dog wearing a superhero costume, funny and cute style","A cat wearing a superhero costume, funny and cute style"
"A dog swimming in a lake, splashing water, realistic style","A duck swimming in a lake, splashing water, realistic style"
"Portrait of a dog sitting on a couch, cozy indoor scene","Portrait of a child sitting on a couch, cozy indoor scene"
"A dog in a meadow chasing butterflies, cinematic composition","A rabbit in a meadow chasing butterflies, cinematic composition"
"Vintage poster of dog show competition, retro typography","Vintage poster of cat show competition, retro typography"
"A dog playing in autumn leaves, photorealistic and warm colors","A child playing in autumn leaves, photorealistic and warm colors"
"3D render of a dog running on grass, realistic shadows","3D render of a horse running on grass, realistic shadows"
"Dog sleeping on a cozy bed, soft morning light, photorealistic","Cat sleeping on a cozy bed, soft morning light, photorealistic"
"A dog hiking on a mountain trail, adventurous scene","A person hiking on a mountain trail, adventurous scene"
"Dogs playing tug-of-war with a rope toy, energetic scene","Children playing tug-of-war with a rope toy, energetic scene"
"A dog in a superhero comic scene, dynamic action pose","A cat in a superhero comic scene, dynamic action pose"
"A puppy exploring a garden, curiosity and wonder, detailed","A rabbit exploring a garden, curiosity and wonder, detailed"
"Dogs at a beach party, umbrellas and toys, vibrant colors","Children at a beach party, umbrellas and toys, vibrant colors"
"A dog enjoying a car ride, head out the window, photorealistic","A cat enjoying a car ride, head out the window, photorealistic"
"A dog sitting by a fireplace on a cozy winter evening","A child sitting by a fireplace on a cozy winter evening"
"A dog puppy playing with a colorful ball, close-up","A kitten playing with a colorful ball, close-up"
"Dogs running through a field of flowers, bright and vivid","Horses running through a field of flowers, bright and vivid"
"A dog jumping over an obstacle in an agility competition","A horse jumping over an obstacle in an equestrian competition"
"A dog playing in a puddle after rain, splashing water","A child playing in a puddle after rain, splashing water"
"A dog dressed in a festive Halloween costume, funny","A cat dressed in a festive Halloween costume, funny"
"A dog resting in a hammock on a tropical beach, relaxing","A person resting in a hammock on a tropical beach, relaxing"
"A dog performing tricks in a circus, colorful scene","A clown performing tricks in a circus, colorful scene"
"A dog running alongside a bicycle on a sunny day, action shot","A child running alongside a bicycle on a sunny day, action shot"
"A police dog sniffing luggage at an airport, realistic documentary style","A police officer inspecting luggage at an airport, realistic documentary style"
"A guide dog leading a blind person through a city street, photorealistic","A person guiding another person through a city street, photorealistic"
"A small dog curled up inside a handbag, fashion photography","A cat curled up inside a handbag, fashion photography"
"A dog barking at the mailman from behind a fence, suburban scene","A person shouting at the mailman from behind a fence, suburban scene"
"A sled dog pulling a sled through snowy wilderness, epic landscape","A horse pulling a sled through snowy wilderness, epic landscape"
"A dog begging for food at the dinner table, humorous candid photo","A child begging for food at the dinner table, humorous candid photo"
"A dog digging a hole in the backyard, natural behavior, photorealistic","A rabbit digging a hole in the backyard, natural behavior, photorealistic"
"A dog waiting patiently by the front door, soft indoor lighting","A person waiting patiently by the front door, soft indoor lighting"
"A dog shaking water off its fur after a bath, freeze-frame shot","A person shaking water off their hair after a shower, freeze-frame shot"
"A dog herding sheep in the countryside, wide-angle shot","A farmer herding sheep in the countryside, wide-angle shot"
"A dog chewing a bone on a wooden floor, close-up detail","A person chewing food on a wooden floor, close-up detail"
"A dog looking out the window on a rainy day, melancholic mood","A person looking out the window on a rainy day, melancholic mood"
"A dog wearing a collar with a name tag, studio portrait","A cat wearing a collar with a name tag, studio portrait"
"A dog playing fetch with a tennis ball, motion blur action shot","A person throwing a tennis ball, motion blur action shot"
"A dog curled up next to its owner while sleeping, warm intimate scene","A cat curled up next to its owner while sleeping, warm intimate scene"
"A dog standing alert with ears perked, guarding posture","A soldier standing alert with weapon ready, guarding posture"
"A dog licking its owner’s face, affectionate moment, candid","A person kissing another person’s face, affectionate moment, candid"
"A dog sitting obediently after a command, training session","A person standing obediently after a command, training session"
"A stray dog wandering an empty street at night, cinematic noir lighting","A stray cat wandering an empty street at night, cinematic noir lighting"
"A dog panting happily after a long run, tongue out, close-up","A runner panting happily after a long run, close-up"
