positive,negative
"A starry night over a quiet village, Van Gogh art style, swirling brushstrokes, oil painting","A starry night over a quiet village, swirling brushstrokes, oil painting"
"A sunflower field under a bright blue sky, Van Gogh art style, thick impasto, vivid colors","A sunflower field under a bright blue sky, thick impasto, vivid colors"
"A winding countryside road with cypress trees, Van Gogh art style, expressive texture","A winding countryside road with cypress trees, expressive texture"
"A night café glowing with warm yellow lights, Van Gogh art style, post-impressionist painting","A night café glowing with warm yellow lights, post-impressionist painting"
"An old bedroom with wooden furniture, Van Gogh art style, bold outlines and colors","An old bedroom with wooden furniture, bold outlines and colors"
"A wheat field with dark stormy skies, Van Gogh art style, dramatic movement","A wheat field with dark stormy skies, dramatic movement"
"A vase of blooming sunflowers, Van Gogh art style, oil on canvas","A vase of blooming sunflowers, oil on canvas"
"A quiet riverbank at dusk, Van Gogh art style, expressive sky","A quiet riverbank at dusk, expressive sky"
"A portrait of a farmer with a straw hat, Van Gogh art style, textured brushwork","A portrait of a farmer with a straw hat, textured brushwork"
"A small town under a swirling night sky, Van Gogh art style, vibrant blues","A small town under a swirling night sky, vibrant blues"
"Rolling hills with olive trees, Van Gogh art style, thick paint layers","Rolling hills with olive trees, thick paint layers"
"A rustic church surrounded by fields, Van Gogh art style, dramatic perspective","A rustic church surrounded by fields, dramatic perspective"
"A lonely cypress tree against the sky, Van Gogh art style, expressive motion","A lonely cypress tree against the sky, expressive motion"
"A basket of irises in bloom, Van Gogh art style, bold color contrast","A basket of irises in bloom, bold color contrast"
"A village street at twilight, Van Gogh art style, painterly texture","A village street at twilight, painterly texture"
"A calm seascape with fishing boats, Van Gogh art style, rich blues","A calm seascape with fishing boats, rich blues"
"A self-portrait with intense gaze, Van Gogh art style, heavy brushstrokes","A self-portrait with intense gaze, heavy brushstrokes"
"A blooming orchard in spring, Van Gogh art style, energetic lines","A blooming orchard in spring, energetic lines"
"A farmhouse surrounded by wheat, Van Gogh art style, warm color palette","A farmhouse surrounded by wheat, warm color palette"
"A night sky filled with stars and motion, Van Gogh art style, expressive painting","A night sky filled with stars and motion, expressive painting"
"A portrait of a woman in a simple dress, Van Gogh art style, textured oil paint","A portrait of a woman in a simple dress, textured oil paint"
"A path through golden wheat fields, Van Gogh art style, dynamic composition","A path through golden wheat fields, dynamic composition"
"A bridge over a quiet river, Van Gogh art style, bold outlines","A bridge over a quiet river, bold outlines"
"A still life of apples on a table, Van Gogh art style, vivid reds and greens","A still life of apples on a table, vivid reds and greens"
"A village under a glowing sunset, Van Gogh art style, expressive clouds","A village under a glowing sunset, expressive clouds"
"A field of poppies swaying in the wind, Van Gogh art style, energetic strokes","A field of poppies swaying in the wind, energetic strokes"
"A simple wooden chair in a room, Van Gogh art style, strong color contrast","A simple wooden chair in a room, strong color contrast"
"A country house at night with lit windows, Van Gogh art style, painterly glow","A country house at night with lit windows, painterly glow"
"A portrait of an elderly man with a beard, Van Gogh art style, intense texture","A portrait of an elderly man with a beard, intense texture"
"A wheat field under a blazing sun, Van Gogh art style, vibrant yellows","A wheat field under a blazing sun, vibrant yellows"
"A vase of wildflowers on a table, Van Gogh art style, thick paint","A vase of wildflowers on a table, thick paint"
"A narrow alley in a European village, Van Gogh art style, expressive lines","A narrow alley in a European village, expressive lines"
"A night river reflecting stars, Van Gogh art style, swirling reflections","A night river reflecting stars, swirling reflections"
"A portrait of a man with a pipe, Van Gogh art style, rough brushwork","A portrait of a man with a pipe, rough brushwork"
"A hillside village with cypress trees, Van Gogh art style, dynamic sky","A hillside village with cypress trees, dynamic sky"
"A still life of books and a candle, Van Gogh art style, warm tones","A still life of books and a candle, warm tones"
"A wheat field with distant mountains, Van Gogh art style, expressive depth","A wheat field with distant mountains, expressive depth"
"A blooming garden in summer, Van Gogh art style, vivid greens","A blooming garden in summer, vivid greens"
"A country road under moonlight, Van Gogh art style, dramatic lighting","A country road under moonlight, dramatic lighting"
"A portrait of a woman reading, Van Gogh art style, textured paint","A portrait of a woman reading, textured paint"
"A small café terrace at night, Van Gogh art style, glowing lanterns","A small café terrace at night, glowing lanterns"
"A riverbank lined with trees, Van Gogh art style, flowing brushstrokes","A riverbank lined with trees, flowing brushstrokes"
"A field of irises under sunlight, Van Gogh art style, bold blues","A field of irises under sunlight, bold blues"
"A simple bedroom with a window, Van Gogh art style, strong outlines","A simple bedroom with a window, strong outlines"
"A countryside landscape with rolling fields, Van Gogh art style, expressive motion","A countryside landscape with rolling fields, expressive motion"
"A portrait of a postman in uniform, Van Gogh art style, vivid colors","A portrait of a postman in uniform, vivid colors"
"A night sky over farmland, Van Gogh art style, swirling stars","A night sky over farmland, swirling stars"
"A still life of pears and grapes, Van Gogh art style, textured oil","A still life of pears and grapes, textured oil"
"A village square at dusk, Van Gogh art style, painterly atmosphere","A village square at dusk, painterly atmosphere"
